codigo_barras,nome,categoria,preco,quantidade,validade
7891000394714,Produto 5862,Categoria D,1,3,09/04/2027
7891000397733,Produto 8881,Categoria D,1,4,01/12/2029
7891000396194,Produto 7342,Categoria B,1,5,05/08/2029
7891000394521,Produto 5669,Categoria C,1,10,09/06/2033
7891000389974,Produto 1122,Categoria A,1,11,05/12/2033
7891000395825,Produto 6973,Categoria D,1,11,24/04/2033
7891000393542,Produto 4690,Categoria C,1,20,29/07/2027
7891000392486,Produto 3634,Categoria C,1,21,27/11/2026
7891000388893,Produto 41,Categoria A,1,28,27/10/2030
7891000389993,Produto 1141,Categoria A,1,29,28/01/2026
7891000390947,Produto 2095,Categoria A,1,29,05/04/2026
7891000398175,Produto 9323,Categoria B,2,4,07/05/2026
7891000389850,Produto 998,Categoria D,2,6,22/10/2026
7891000389769,Produto 917,Categoria D,2,12,02/03/2030
7891000391325,Produto 2473,Categoria C,2,14,22/04/2033
7891000390421,Produto 1569,Categoria C,2,18,11/02/2027
7891000396261,Produto 7409,Categoria C,2,21,22/05/2027
7891000397135,Produto 8283,Categoria B,2,21,06/11/2031
7891000397488,Produto 8636,Categoria C,2,25,27/06/2032
7891000391361,Produto 2509,Categoria C,2,27,25/10/2032
7891000392693,Produto 3841,Categoria D,2,29,28/10/2031
7891000395143,Produto 6291,Categoria B,3,8,26/02/2030
7891000390762,Produto 1910,Categoria D,3,11,10/02/2031
7891000391908,Produto 3056,Categoria A,3,12,04/11/2032
7891000392961,Produto 4109,Categoria A,3,13,05/02/2033
7891000394811,Produto 5959,Categoria D,3,14,22/10/2031
7891000396118,Produto 7266,Categoria B,3,18,14/08/2034
7891000395628,Produto 6776,Categoria D,3,22,22/04/2032
7891000395584,Produto 6732,Categoria D,3,24,31/10/2030
7891000390939,Produto 2087,Categoria A,3,25,01/04/2030
7891000390710,Produto 1858,Categoria D,3,26,04/08/2028
7891000393443,Produto 4591,Categoria C,3,27,03/10/2034
7891000394915,Produto 6063,Categoria A,3,29,15/04/2033
7891000396288,Produto 7436,Categoria C,3,29,05/10/2031
7891000390323,Produto 1471,Categoria C,3,30,30/05/2032
7891000391483,Produto 2631,Categoria C,4,3,05/11/2033
7891000393711,Produto 4859,Categoria D,4,4,29/12/2033
7891000390471,Produto 1619,Categoria C,4,10,16/06/2028
7891000390614,Produto 1762,Categoria D,4,10,23/07/2032
7891000390494,Produto 1642,Categoria C,4,11,02/09/2027
7891000394359,Produto 5507,Categoria C,4,12,06/01/2029
7891000395312,Produto 6460,Categoria C,4,12,02/04/2034
7891000396564,Produto 7712,Categoria D,4,14,15/05/2032
7891000388936,Produto 84,Categoria A,4,22,21/08/2028
